id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/20158583	10.2307/20158583	A Package of Love to an Indonesian Lady in Jakarta from an Indonesian Gentleman in Iowa City USA	Sutardji Calzoum Bachri, Harry Aveling	The Iowa Review	7	2/3	1976-04-01T00:00:00Z	pp. 60-61	University of Iowa	fla			
10.2307/41389814	10.2307/41389814	Nietzsche Loves You: A Media-Technological Start-up	Avital Ronell	Discourse	31	1/2	2009-01-01T00:00:00Z	pp. 161-179	Wayne State University Press	fla			
10.2307/41583008	10.2307/41583008	"Love in the Night," Without Polish Eyes to See It	HEIDI M. KUNZ	The F. Scott Fitzgerald Review	7		2009-01-01T00:00:00Z	pp. 37-51	Penn State University Press	fla			
10.2307/910327	10.2307/910327	'Love in a Village'	W. H. Grattan Flood	The Musical Times	61	930	1920-08-01T00:00:00Z	p. 559	Musical Times Publications Ltd.	fla			
10.2307/23076101	10.2307/23076101	A Matter of Love: Muḥammad Asad and Islam	ISMĀ'ĪL IBRĀHĪM NAWWĀB	Islamic Studies	39	2	2000-07-01T00:00:00Z	pp. 155-231	Islamic Research Institute, International Islamic University, Islamabad	fla			
10.2307/1489295	10.2307/1489295	Teaching Needs Love	Dowdy Hardy	Peabody Journal of Education	30	6	1953-05-01T00:00:00Z	pp. 326-327	Taylor & Francis, Ltd.	fla			
10.2307/1566271	10.2307/1566271	Looking at Love: An Ethics of Vision	Mieke Bal	Diacritics	27	1	1997-04-01T00:00:00Z	pp. 58-72	The Johns Hopkins University Press	brv	The Threshold of the Visible World|Kaja Silverman		
10.2307/27546653	10.2307/27546653	Modern Love [Poem]	Robert Buffington	The Sewanee Review	101	1	1993-01-01T00:00:00Z	p. 32	The Johns Hopkins University Press	fla			
10.2307/25294624	10.2307/25294624	On Translating Hieroglyphic Love Songs. II	John L. Foster	Chicago Review	23	3	1972-01-01T00:00:00Z	pp. 93-113	Chicago Review	fla			
10.2307/25794373	10.2307/25794373	love poems	Sasha McInnes-Hayman	Off Our Backs	14	4	1984-04-01T00:00:00Z	p. 28	off our backs, inc.	fla			
10.2307/40002312	10.2307/40002312	The Vision Speaks: Love in Elizabeth Barrett Browning's "Lady Geraldine's Courtship"	Glennis Stephenson	Victorian Poetry	27	1	1989-04-01T00:00:00Z	pp. 17-31	West Virginia University Press	fla			
10.2307/3513356	10.2307/3513356	On Originality, Courtly Love, and the Portuguese "Cantigas"	Linda M. A. Rodrigues	Luso-Brazilian Review	27	2	1990-12-01T00:00:00Z	pp. 95-107	University of Wisconsin Press	fla			
10.2307/936075	10.2307/936075	In Heavenly Love Abiding	Anna L. Waring, Arthur J. Pritchard	The Musical Times	93	1309	1952-03-01T00:00:00Z	pp. 1-8	Musical Times Publications Ltd.	fla			
10.5250/symploke.18.1-2.0171	10.5250/symploke.18.1-2.0171	Loving the Other in 1970s Harlem: Race, Space, and Place in <i>Aaron Loves Angela</i>	Sandhya Shukla	symplokē	18	1-2	2010-01-01T00:00:00Z	pp. 171-188	University of Nebraska Press	fla			
10.2307/3912924	10.2307/3912924	Roosevelt Memorial Hall Honors Love of Wildlife		The Science News-Letter	29	772	1936-01-25T00:00:00Z	pp. 53-54	Society for Science & the Public	fla			
10.2307/27809574	10.2307/27809574	LOVE IN THE MIRROR: A COMPARATIVE READING OF TITIAN'S WOMAN AT HER TOILET AND CARAVAGGIO'S CONVERSION OF MARY MAGDALENE	LORENZO PERICOLO	I Tatti Studies: Essays in the Renaissance	12		2009-01-01T00:00:00Z	pp. 149-179	Casa Editrice Leo S. Olschki s.r.l., The University of Chicago Press, Villa I Tatti, The Harvard Center for Italian Renaissance Studies	fla			
10.2307/29764870	10.2307/29764870	A COMPARATIVE STUDY OF THE STRUCTURE OF LOVE IN THE U.S. AND RUSSIA: FINDING A COMMON CORE OF CHARACTERISTICS AND NATIONAL AND GENDER DIFFERENCES	Victor de Munck, Andrey Korotayev, Darya Khaltourina	Ethnology	48	4	2009-10-01T00:00:00Z	pp. 337-357	University of Pittsburgh- Of the Commonwealth System of Higher Education	fla		A fourteen-item Likert survey in Russia and the United States was used to discover if there is a common conception of romantic love and if there are national or gender variations. Evolutionary, cultural, and popular literature on love suggests that males and female differ in their conception of romantic love and its relation to sex. But what is the relationship (if any) in similarities and differences between these national cultures and between genders. Research results showed a strong overall agreement on a common core that includes altruism, intrusive thinking, and emotional fulfillment. Also, there were national and gender differences, with nation having a stronger effect on the conception of romantic love than does gender.	
10.2307/23343236	10.2307/23343236	True Love	L. Biakliana, Mafa-a Hauhnar	Indian Literature	45	1 (201)	2001-01-01T00:00:00Z	p. 121	Sahitya Akademi	fla			
10.2307/23417464	10.2307/23417464	So Much Matter in One Dark Thesis, so Much Affection in a Second - On "Love Life" by Zeruya Shalev / כמה חומר בתזה שחורה אחת, כמה חסד ברגע אחד — על 'חיי אהבה' של צרויה שלו	אבי וימר, Avi Wimmer	Dappim: Research in Literature / דפים למחקר בספרות	12		1999-01-01T00:00:00Z	pp. 317-331		fla			
10.2307/20840033	10.2307/20840033	POETRY AND LOVE: THE FEMININE CONTRIBUTION IN MUSLIM SPAIN	ASMA AFSARUDDIN	Islamic Studies	30	1/2	1991-04-01T00:00:00Z	pp. 157-169	Islamic Research Institute, International Islamic University, Islamabad	fla			
10.2307/23008840	10.2307/23008840	Demos and Sophia: Not a Love Story	George Scialabba	Agni		27	1988-01-01T00:00:00Z	pp. 76-83	Agni	fla			
10.2307/20540333	10.2307/20540333	Love Story	Diana Bellessi	Hispamérica	30	90	2001-12-01T00:00:00Z	pp. 69-70	Saul Sosnowski	fla			
10.2307/4139048	10.2307/4139048	The Table Loves Pain	Susan Power	American Indian Quarterly	28	1/2	2004-01-01T00:00:00Z	pp. 115-117	University of Nebraska Press	fla			
10.2307/3304464	10.2307/3304464	Supreme Court of Indiana. Archibald Love, et al. v. E. G. Culver Payne	W. W. Thornton	The American Law Register (1852-1891)	29	8	1881-08-01T00:00:00Z	pp. 535-542	The University of Pennsylvania Law Review	fla			
10.2307/25470238	10.2307/25470238	"My Adherence to the Creed of Moses Has Not Diminished My Love for Muhammad's Nation": The Emergence and Demise of Iraqi Jewish Literary Modern Culture	Reuven Snir	The Jewish Quarterly Review	98	1	2008-01-01T00:00:00Z	pp. 62-87	University of Pennsylvania Press	fla			
10.2307/3043301	10.2307/3043301	Two Problems in Donne's "Farewell to Love"	Katherine T. Emerson	Modern Language Notes	72	2	1957-02-01T00:00:00Z	pp. 93-95	The Johns Hopkins University Press	fla			
10.2307/27561291	10.2307/27561291	No Place for Me, My Love	Naomi Myrvaagnes	Harvard Review		17	1999-10-01T00:00:00Z	pp. 44-47	Houghton Library of the Harvard College Library	fla			
10.2307/801215	10.2307/801215	Orpheus and Eurydice: A Love Masque	Dorothea M. C. Kluge	The English Journal	4	10	1915-12-01T00:00:00Z	pp. 664-668	National Council of Teachers of English	fla			
10.2307/23413917	10.2307/23413917	Invitation to Love: The Influence of Soap Opera on David Lynch's "Twin Peaks"	Mark J. Charney	Studies in Popular Culture	14	1	1991-01-01T00:00:00Z	pp. 53-59		fla			
10.2307/3389875	10.2307/3389875	Why Italians Love Good Music	Beatrice Mangino	Music Educators Journal	49	3	1963-01-01T00:00:00Z	pp. 47-48	MENC: The National Association for Music Education, Sage Publications, Inc.	fla			
10.2307/20838077	10.2307/20838077	When Love Hits the Fan	Karla Mantilla	Off Our Backs	34	5/6	2004-05-01T00:00:00Z	pp. 30-32	off our backs, inc.	fla			
10.2307/20579595	10.2307/20579595	Love Letters of a Surgeon	Agnes Lee	Poetry	44	5	1934-08-01T00:00:00Z	pp. 264-269	Poetry Foundation	fla			
10.2307/4093512	10.2307/4093512	Immunizing the Internet, or: How I Learned to Stop Worrying and Love the Worm		Harvard Law Review	119	8	2006-06-01T00:00:00Z	pp. 2442-2463	The Harvard Law Review Association	fla			
10.2307/20154708	10.2307/20154708	The Women Who Love Elvis All Their Lives	Fleda Brown Jackson	The Iowa Review	29	1	1999-04-01T00:00:00Z	p. 138	University of Iowa	fla			
10.2307/40348674	10.2307/40348674	True Love (Maybe)	S. Whittaker	Ploughshares	7	1	1981-01-01T00:00:00Z	p. 150	Emerson College	fla			
10.2307/20638994	10.2307/20638994	Metaphors, Source Domains, and Key Words in Tongan Speech about Social Relationships: 'Ofa 'Love' Is Giving	Giovanni Bennardo	Anthropological Linguistics	50	2	2008-07-01T00:00:00Z	pp. 174-204	Anthropological Linguistics, Trustees of Indiana University	fla		In this article metaphors used by Tongans when talking about social relationships are analyzed. A number of types of metaphors are identified and their source domains highlighted. Many of these metaphors involve the concept of 'ofa 'love' and related concepts like faka 'apa 'apa 'respect'. The metaphor analysis reveals a comprehensive organizational structure for the domain of social relationships—a cultural model. This structure replicates the organization present in other domains of Tongan knowledge, providing further support for the hypothesis that a cultural model of radiality is the basis of the preferred Tongan way of mentally organizing knowledge.	
10.2307/41640519	10.2307/41640519	"RECHT BITTER UND DOCH SÜßE": Textual and Musical Expression of Mystical Love in German Baroque Meditations of Christ's Passion	Isabella van Elferen	Bach	35	1	2004-01-01T00:00:00Z	pp. 1-28	Riemenschneider Bach Institute	fla			
10.2307/3787154	10.2307/3787154	The Duty to Desire: Love, Friendship, and Sexuality in Some Puritan Theories of Marriage	Edmund Leites	Journal of Social History	15	3	1982-04-01T00:00:00Z	pp. 383-408	Oxford University Press	fla			
10.2307/27568600	10.2307/27568600	My Grandmother's First Love	Svetlana Boym	Harvard Review		22	2002-04-01T00:00:00Z	pp. 20-29	Houghton Library of the Harvard College Library	fla			
10.2307/2068862	10.2307/2068862	Romantic Marxism: Love Is (Still) Not Enough	Harvey Molotch	Contemporary Sociology	13	2	1984-03-01T00:00:00Z	pp. 141-143	American Sociological Association	brv	The City and the Grassroots: A Cross-Cultural Theory of Urban Social Movements|Manuel Castells		
10.2307/2905363	10.2307/2905363	Skipping Love Scenes: The Repression of Literature in Proust	Margaret Gray-McDonald	MLN	104	5	1989-12-01T00:00:00Z	pp. 1020-1034	The Johns Hopkins University Press	fla			
10.2307/3828900	10.2307/3828900	Free Love and Victorian Feminism: The Divers Matrimonials of Elizabeth Wolstenholme and Ben Elmy	Sandra Stanley Holton	Victorian Studies	37	2	1994-01-01T00:00:00Z	pp. 199-222	Indiana University Press	fla			
10.1086/530217	10.1086/530217	Peter Wallenstein. <i>Tell the Court I Love My Wife: Race, Marriage, and Law: An American History</i>	Kirsten Fischer	The American Historical Review	109	1	2004-02-01T00:00:00Z	pp. 193-194	American Historical Association, Oxford University Press	brv			
10.2307/25792673	10.2307/25792673	love & feminism: she is not what you bargained for	carol anne douglas	Off Our Backs	8	2	1978-02-01T00:00:00Z	pp. 14-15	off our backs, inc.	fla			
10.2307/309371	10.2307/309371	Love Songs between the Sacred and the Vernacular: Pushkin's "Podrazhaniia" in the Context of Bible Translation	Gabriella Safran	The Slavic and East European Journal	39	2	1995-07-01T00:00:00Z	pp. 165-183	American Association of Teachers of Slavic and East European Languages	fla			
10.2307/23593072	10.2307/23593072	The Love Poetry of R. Shemuel Han-Nagid / האהבה בשירת ר' שמואל הנגיד	יהודה רצהבי, Yehuda Ratzaby	Tarbiz / תרביץ	לט	ב	1969-12-01T00:00:00Z	pp. 137-169	Mandel Institute for Jewish Studies / המכון למדעי היהדות ע\"ש מנדל	fla		R. Shemuel Han-Nagid is rightly considered to be one of the greatest Hebrew poets of Spain. As one of the earliest Hebrew poets on Spanish soil, his importance lies in his innovations and the expansion of existing forms in the field of Hebrew poetry. The contributions of R. Shemuel Han-Nagid are manifold: 1) In content — war and ethical poems. 2) In form — various meters and a variety of poetic patterns. 3) In language — originality in style and numerous new expressions and word-forms. The secular themes of the poets who preceded him were strengthened and perfected in the poetry of R. Shemuel Han-Nagid, several of them becoming the accepted standard, and no further innovations introduced in these afterwards. This article is devoted to a study of the love poetry of R. Shemuel Han-Nagid, one of the themes demonstrating his contribution to medieval Hebrew poetry in Spain. It is the author's premise that the love theme, being a secular motif par excellence, has been greatly influenced by Arabic poetry. As an introduction to his comparison of Han-Nagid's love poetry with this theme in medieval Arabic poetry, the author reviews Hebrew love poetry as composed in Spain prior to the era of R. Shemuel Han-Nagid. He also surveys the appearance of this theme in the Arabic poetry of previous periods. A summary of Han-Nagid's love poems shows that they completely fit the accepted conventions of Arabic love poetry: the unfortunate lover tormented by his love, and the cruel beloved who makes her lovers suffer and derives enjoyment from their distress. The character of "the adorer" and "the adored" are so completely removed from one another that the relationship between them can best be characterized as one of opposites. The author presents parallels to thirty-two similes and ideas foreign to traditional Hebrew poetry which were borrowed by R. Shemuel Han-Nagid from Arabic poetry. These parallels are derived from the lyrics of the classical poets during the Abbasid period and the Arab poets (including Spaniards) contemporary with R. Shemuel Han-Nagid. Presentation of the parallel material from Arabic sources clarifies some strange phenomena and obscure passages which have hitherto prevented full appreciation of Han-Nagid's poetry. On the other hand, they testify to the powerful influence of Arabic literature upon contemporary Hebrew poets within the sphere of secular poetry.	
